Car_Name,Year,Selling_Price,Driven_KMs,Fuel_Type,Transmission,Engine_Size_L,Mileage_kmpl
Toyota Corolla  ,2017,444245.71,85923,Petrol,Automatic,1.3,12.7
Hyundai i20,2022,607792.73,56063,Petrol,Automatic,1.4,12.5
Mercedes-Benz E-Class,2011,541205.35,208331,Petrol,Automatic,2.2,10.6
Toyota Yaris,2022,968473.3,40310,Petrol,Automatic,1.6,13.9
Ford EcoSport,2011,207786.56,217649,Diesel,Manual,2.4,13.4
Ford Endeavour,2016,535916.36,141200,Petrol,Manual,2.3,13.2
Tata Harrier,2017,199220.36,"93,168 km",Diesel,Manual,1.2,14.2
Hyundai Tucson,2020,406131.44,81012,Petrol,Automatic,1.4,16.2
Toyota RAV4,2019,610087.2,118033,Diesel,Automatic,1.6,13.0
Ford Mustang,2012,492756.87,154407,CNG,Automatic,3.8,23.2
Hyundai Tucson,2018,301111.8,65603,Diesel,Automatic,1.1,19.5
Mercedes-Benz C-Class,2015,931354.14,150856,Diesel,Manual,2.1,12.4
Ford Mustang,2010,165056.28,195053,CNG,Automatic,1.6,
BMW 5 Series,2011,701029.82,130031,Diesel,Manual,2.5,8.1
Tata Safari,2008,120000.0,254995,Petrol,Manual,1.0,15.8
Honda Amaze,2010,128424.48,266502,Petrol,Automatic,,12.3
Toyota Camry,2016,788472.92,116723,Electric,Automatic,0.0,149.1
BMW X5,2013,869549.28,157847,Petrol,Automatic,2.9,9.4
Hyundai Venue,2015,296115.49,6747,CNG,Manual,1.7,26.1
Ford Endeavour  ,2020,1367985.16,67288,Diesel,Manual,2.9,13.9
Tata Safari,2024,795168.45,19397,Diesel,Manual,1.6,16.0
Hyundai Creta,2015,217820.62,139045,Diesel,Manual,1.5,15.0
Maruti Suzuki Swift,2021,345790.51,24917,Diesel,Manual,1.3,16.7
Maruti Suzuki Ertiga,2017,138953.68,103382,Diesel,Manual,1.1,13.2
BMW 5 Series,2022,3184854.13,36818,Petrol,Manual,3.0,10.3
Toyota Yaris,2019,409946.32,28197,Petrol,Automatic,1.0,14.8
Hyundai Verna,2019,280407.09,98863,Diesel,Automatic,1.0,17.0
Mercedes-Benz A-Class,2011,676549.51,156444,Petrol,Automatic,2.4,10.1
Ford Focus,2024,1759509.84,37086,Petrol,Automatic,2.1,10.9
Tata Nexon,2008,120000.0,302360,Petrol,Automatic,1.3,16.3
Tata Punch,2011,187358.81,80805,Diesel,Automatic,2.1,12.3
Mercedes-Benz C-Class,2022,4225463.31,30018,Diesel,Manual,3.6,10.5
Maruti Suzuki Swift,2019,210318.68,64523,Diesel,Manual,1.1,15.1
Audi Q3,2018,1559777.74,51618,Diesel,Automatic,2.0,10.5
Volkswagen Tiguan,2016,266987.34,139352,CNG,Manual,1.6,24.6
Honda Amaze,2015,268732.32,100210,Petrol,Automatic,1.5,8.9
Audi Q5,2021,2792998.73,48777,CNG,Manual,3.3,22.2
Tata Safari,2008,120000.0,243658,Petrol,Manual,1.5,16.4
Mercedes-Benz A-Class  ,2008,445305.45,206399,Petrol,Manual,2.7,10.3
Mercedes-Benz GLE,2018,2375207.92,125525,Petrol,Manual,3.6,8.6
Hyundai i20,2020,526177.98,74616,Hybrid,Manual,1.6,20.2
Toyota Yaris,2018,595535.45,66921,Diesel,Automatic,1.6,17.1
Hyundai i20,2024,909593.24,30106,CNG,Manual,1.8,16.7
Tata Nexon,2019,202182.91,93983,Diesel,Automatic,1.0,15.9
BMW X5,2015,1083680.55,181789,Diesel,Automatic,2.7,13.8
Hyundai Venue,2016,259625.43,106904,Petrol,Manual,1.5,12.0
Honda CR-V,2017,380949.65,119431,Diesel,Automatic,1.5,15.7
Honda Amaze,2024,960668.62,27162,Hybrid,Manual,1.5,25.6
Audi A3,2020,2178555.77,68780,Petrol,Manual,2.4,7.2
Tata Altroz,2022,460824.83,30171,Petrol,Automatic,1.2,15.1
Tata Safari,2020,511498.99,63979,Petrol,Manual,1.9,12.5
Ford EcoSport,2014,465244.22,217636,Petrol,Manual,2.5,16.1
Volkswagen Vento,2013,151619.45,195181,Petrol,Manual,1.3,15.3
Hyundai i20,2021,522721.31,100274,Petrol,Manual,1.7,9.0
BMW X5,2024,3642531.15,29921,CNG,Automatic,2.7,24.4
Hyundai Tucson,2014,244057.26,121154,Petrol,Automatic,1.6,9.0
Toyota Corolla,2015,377214.19,174430,Petrol,Automatic,1.9,10.0
Hyundai Tucson,2017,348781.55,130896,Petrol,Automatic,1.8,
Mercedes-Benz A-Class,2010,443456.8,260603,CNG,Automatic,2.3,23.8
Volkswagen Tiguan,2018,394143.73,69922,Diesel,Manual,1.2,18.3
Hyundai i20,2014,132153.1,164925,Petrol,Manual,1.3,15.3
Tata Harrier,2024,644752.36,14549,Petrol,Automatic,1.3,14.4
Toyota Fortuner,2011,131543.46,275017,CNG,Manual,1.8,23.5
Ford Endeavour,2019,1031172.06,119335,Diesel,Manual,3.1,14.8
BMW 5 Series,2015,1312026.62,174393,Petrol,Automatic,3.4,12.9
Honda CR-V,2021,1019988.4,68563,Electric,Manual,0.0,
Hyundai i20,2024,866766.77,11420,  Diesel ,Automatic,1.5,15.4
Audi A4,2020,2006025.13,107354,Petrol,Manual,2.4,10.0
BMW X3,2014,1311287.79,"145,975 km",Petrol,Automatic,3.0,9.6
Mercedes-Benz A-Class,2019,2197038.91,88640,Diesel,Automatic,2.3,13.9
Toyota RAV4,2017,443367.07,71565,Hybrid,Manual,1.6,26.8
Audi A4,2016,1275654.26,102428,Petrol,Manual,2.7,10.5
Maruti Suzuki Ertiga,2015,147627.95,124798,Diesel,Automatic,1.4,12.9
BMW 1 Series,2018,1687639.32,88855,Diesel,Manual,2.5,12.1
BMW 1 Series,2019,1935183.51,84520,Diesel,Manual,2.6,13.9
BMW 5 Series,2009,447344.92,230507,Diesel,Manual,2.5,8.9
Ford EcoSport,2010,204415.56,154353 KM,Petrol,Manual,2.2,10.7
Maruti Suzuki Baleno,2023,508988.79,35426,Diesel,Manual,1.7,14.0
Ford EcoSport,2015,512513.36,127593,Diesel,Manual,2.3,13.2
Honda Amaze,2010,120000.0,152154,Diesel,Manual,1.1,16.9
BMW X3,2010,384865.67,198716,Petrol,Manual,2.2,11.9
Maruti Suzuki Swift,2024,592644.2,22282,Diesel,Automatic,1.4,16.0
BMW 5 Series,2012,621568.75,206398 KM,Petrol,Automatic,2.4,11.7
Hyundai Tucson,2024,1022463.28,7636 KM,Diesel,Automatic,1.5,13.4
Toyota Corolla,2012,339759.71,190728,  Electric ,Manual,0.0,150.3
Mercedes-Benz GLC,2008,517294.96,260415,Diesel,Automatic,3.3,8.1
Ford Fiesta,2021,1049334.21,90641,Diesel,Manual,2.1,11.5
BMW X3,2020,1610817.47,74824 KM,CNG,Manual,2.4,24.2
Volkswagen Virtus,2022,834825.27,63910,Diesel,Automatic,1.4,14.5
Maruti Suzuki Brezza,2016,161935.31,104048,Diesel,Automatic,1.3,12.3
Tata Punch,2012,160350.21,126501,Diesel,Manual,1.8,14.7
Maruti Suzuki Dzire,2024,588655.95,21819,Diesel,Manual,1.6,10.2
Maruti Suzuki Swift,2024,526493.78,27710,Hybrid,Manual,1.4,21.1
Honda Amaze,2008,120000.0,218844,Diesel,Automatic,1.1,17.8
Maruti Suzuki Dzire,2017,207424.36,118423,Diesel,Manual,1.6,12.5
Volkswagen Vento,2012,163617.59,112878,Petrol,Automatic,1.2,15.7
Ford EcoSport,2016,649880.44,144268 KM,Petrol,Manual,3.1,8.6
Hyundai Tucson,2022,449662.43,59780,Diesel,Manual,1.2,17.0
Volkswagen Polo,2010,120000.0,276790,Hybrid,Manual,1.1,22.4
Mercedes-Benz C-Class,2020,1884820.32,81591,Diesel,Automatic,1.8,12.7
Audi A3,2018,2301593.93,101270,Electric,Automatic,0.0,162.9
Maruti Suzuki Brezza,2021,376980.5,21327,Petrol,Manual,1.7,9.0
Ford Fiesta,2023,1844892.06,43770,Diesel,Manual,2.8,11.1
Audi A3,2020,2218272.34,78142,Petrol,Manual,2.4,11.6
Volkswagen Tiguan,2020,467448.08,94309,Petrol,Automatic,1.2,11.3
Volkswagen Polo,2009,120000.0,194652 KM,Petrol,Manual,1.5,13.2
Toyota Fortuner,2015,325415.62,181034,Petrol,Automatic,1.8,14.3
Honda Accord,2011,147388.16,261056,Petrol,Automatic,1.7,12.2
Tata Safari,2015,236476.55,147773,Petrol,Manual,1.8,11.9
Mercedes-Benz GLE,2021,2863681.88,46899,Diesel,Automatic,2.5,11.9
Audi A3,2008,484133.74,228786,Petrol,Automatic,3.0,7.1
Ford Endeavour,2016,843922.09,83186,Diesel,Manual,3.2,9.8
Hyundai Venue,2015,233712.17,156789,Petrol,Manual,1.8,9.4
Maruti Suzuki Dzire,2010,120000.0,163679,Petrol,Automatic,1.6,11.4
Tata Harrier,2024,641793.01,14658,Petrol,Automatic,1.2,10.0
Honda CR-V,2011,188946.87,157551,CNG,Manual,2.1,21.8
Maruti Suzuki Baleno,2010,120000.0,168423,Diesel,Manual,1.8,13.5
Ford Endeavour,2023,2094186.62,41780,Petrol,Automatic,2.7,8.5
Ford Fiesta,2012,421964.52,215102,Petrol,Automatic,3.1,8.7
BMW X3,2022,3423974.48,31768,Electric,Manual,0.0,152.9
Toyota Corolla,2010,120000.0,138669,Petrol,Manual,1.3,15.0
Ford EcoSport,2015,595091.16,121105,Diesel,Automatic,2.7,12.8
Mercedes-Benz GLE,2015,1722338.54,95218,Petrol,Automatic,3.2,9.5
Mercedes-Benz E-Class,2021,3130308.47,68967,Diesel,Manual,2.6,11.9
Tata Altroz,2008,120000.0,317075,Petrol,Automatic,1.4,10.5
Hyundai Creta,2013,309840.71,126673,Petrol,Automatic,2.3,12.9
Maruti Suzuki Ertiga,2017,187127.57,79088,Petrol,Manual,1.6,16.9
Mercedes-Benz A-Class,2019,1756414.5,68769,CNG,Manual,2.5,22.2
Mercedes-Benz A-Class,2017,1415307.57,134979 KM,CNG,Manual,2.7,22.2
Ford Mustang,2023,1561697.02,25466,Diesel,Manual,2.3,9.0
Honda Civic,2011,120000.0,263227,Petrol,Manual,1.5,10.5
Volkswagen Tiguan,2014,231390.45,177877,Diesel,Manual,1.5,17.3
Audi Q3,2012,684153.61,136346 KM,Petrol,Manual,2.7,10.8
Volkswagen Polo,2018,781682.67,103956,Electric,Manual,0.0,143.9
Tata Harrier,2010,120000.0,263976 KM,Petrol,Manual,1.5,11.3
Audi A6,2011,443925.71,209550,CNG,Manual,2.1,26.5
Maruti Suzuki Swift,2018,206778.51,110922,CNG,Automatic,1.4,19.7
Hyundai Creta,2022,742952.05,48377,Petrol,Manual,1.8,13.2
Tata Harrier,2016,180854.53,"109,587 km",Diesel,Automatic,1.0,16.9
Toyota Fortuner,2022,1002574.51,50341,Diesel,Automatic,1.9,13.9
Toyota Corolla,2023,1055218.79,33462,Petrol,Automatic,1.6,9.1
Volkswagen Taigun,2010,162037.07,194550,Diesel,Manual,2.0,11.0
Honda City,2013,215176.74,181004,Diesel,Manual,1.9,13.2
Mercedes-Benz GLE,2009,423094.36,279607,Diesel,Manual,2.9,13.1
Honda Accord,2016,183350.9,115977 KM,Diesel,Manual,1.0,13.4
Audi A4,2019,2151386.46,83548,  Diesel ,Manual,2.5,14.8
BMW 3 Series,2021,2365113.07,56993,Diesel,Manual,2.2,13.3
Ford Endeavour,2023,1328140.15,14305,Petrol,Automatic,1.6,12.2
Volkswagen Tiguan,2017,444622.09,43644,Diesel,Automatic,1.6,17.5
Tata Nexon,2017,286233.69,142003,Diesel,Automatic,1.6,19.1
Mercedes-Benz GLC,2024,6830918.79,10039,Petrol,Automatic,3.7,7.7
Audi A4,2015,1317336.0,99503,Diesel,Automatic,2.7,15.6
Tata Nexon,2008,120000.0,396421,Petrol,Manual,1.7,10.3
Hyundai Verna,2022,618191.38,51184,Diesel,Manual,1.4,14.3
Ford Endeavour,2016,717720.2,115525,Petrol,Manual,2.9,8.4
Mercedes-Benz E-Class,2018,2073223.06,109956,Petrol,Manual,3.5,9.8
Maruti Suzuki Dzire,2013,120000.0,139051,Diesel,Manual,1.6,14.6
Volkswagen Vento,2018,355945.7,155094,Petrol,Manual,1.5,13.6
Ford EcoSport,2023,2206272.57,34422,Petrol,Automatic,3.5,9.1
Ford Mustang,2009,187788.16,278408,Petrol,Automatic,2.4,12.4
Mercedes-Benz E-Class,2011,737614.69,177359,Petrol,Manual,3.7,8.4
Audi Q5,2022,3201679.41,47546,Hybrid,Automatic,2.2,27.4
Mercedes-Benz GLC,2011,672961.71,77375,Petrol,Manual,3.0,8.1
Toyota Corolla,2024,1135460.72,16957,Diesel,Manual,1.8,17.4
Maruti Suzuki Brezza,2012,120000.0,108142,Petrol,Manual,1.6,13.2
Hyundai Tucson,2012,156579.92,152999,Petrol,Automatic,1.4,11.2
Tata Safari,2020,608244.78,78781,Diesel,Automatic,2.1,10.3
Ford Fiesta,2017,888502.02,114472,Diesel,Automatic,2.8,15.2
Mercedes-Benz C-Class,2019,1449710.0,70534,Petrol,Automatic,1.6,10.5
Ford EcoSport,2010,319207.59,166727,Petrol,Automatic,2.6,12.1
Maruti Suzuki Baleno,2016,159373.16,127650,Petrol,Automatic,1.4,11.8
BMW 1 Series,2010,390118.59,122396,Petrol,Automatic,1.6,13.0
Volkswagen Polo,2018,607808.95,169862,Diesel,Automatic,2.0,13.4
Hyundai Tucson,2021,496494.83,71898,Diesel,Manual,1.4,16.3
Maruti Suzuki Swift,2022,818027.85,41889,Electric,Manual,0.0,201.2
BMW 3 Series,2014,703460.57,98471,Petrol,Manual,2.2,13.7
Hyundai Tucson,2013,328454.96,130366,Electric,Manual,0.0,173.4
Toyota RAV4,2016,432445.55,174710 KM,Hybrid,Manual,1.9,20.4
Maruti Suzuki Dzire,2021,287818.86,54196,Diesel,Manual,1.3,19.3
Toyota Camry,2016,315860.62,134941,Petrol,Manual,1.7,14.1
Audi A6,2021,3371478.64,64435,Electric,Automatic,0.0,174.9
Mercedes-Benz GLE,2022,3482752.25,65534,Petrol,Manual,3.2,6.0
Tata Harrier,2011,120000.0,211826,Petrol,Manual,1.3,6.7
BMW 5 Series,2008,426106.78,159043,Petrol,Manual,2.9,10.4
Mercedes-Benz E-Class,2016,752187.29,150414,Petrol,Manual,1.6,13.5
Honda Accord,2016,352672.62,110675,Diesel,Automatic,1.3,15.2
Volkswagen Virtus,2015,278416.91,98547,Petrol,Automatic,1.5,11.7
Tata Altroz,2011,120000.0,208095,Petrol,Automatic,1.4,14.0
Maruti Suzuki Brezza,2014,120000.0,121199,Petrol,Manual,1.5,13.8
Toyota Corolla,2022,533777.54,51571,Petrol,Manual,1.1,12.1
Maruti Suzuki Brezza,2009,120000.0,"91,639 km",Petrol,Manual,2.1,8.2
BMW 3 Series,2019,1767445.59,113574,Petrol,Manual,2.8,8.8
Volkswagen Virtus,2022,886890.25,53871,Diesel,Automatic,1.7,15.3
BMW X3,2012,835038.37,132642 KM,Diesel,Automatic,2.7,14.2
Tata Punch,2017,255760.0,59157,Petrol,Manual,1.4,16.7
Toyota RAV4,2020,891356.94,87142,Petrol,Manual,2.1,11.6
Mercedes-Benz GLC,2018,1606671.08,72312 KM,Diesel,Automatic,2.1,15.9
Hyundai Venue,2008,120000.0,244528,Diesel,Automatic,1.8,14.6
Audi A4,2015,855241.64,78062,Petrol,Manual,1.9,13.7
Honda City,2013,291514.59,122038,Petrol,Automatic,1.9,13.5
Ford Fiesta,2021,1571205.9,30652,Petrol,Automatic,2.4,7.2
BMW X3,2010,455469.22,136019,Diesel,Automatic,2.1,13.7
Ford EcoSport,2021,1595049.02,51887,Electric,Manual,0.0,181.8
Volkswagen Vento,2016,246671.82,100306,Diesel,Manual,1.2,13.8
Ford Mustang,2024,2189031.46,24142,Petrol,Automatic,2.8,12.4
Maruti Suzuki Swift,2024,658574.92,28131,Diesel,Manual,2.0,15.6
Audi Q3,2021,1392810.52,62246,Petrol,Manual,2.3,12.7
Volkswagen Virtus,2018,515380.05,117490,Diesel,Manual,1.7,12.1
Ford EcoSport,2024,2140320.55,18710,Diesel,Automatic,2.2,12.7
Hyundai Verna,2023,1200299.26,54873,Electric,Manual,0.0,132.7
Ford EcoSport,2016,786540.91,113140,Diesel,Manual,3.2,10.1
Tata Altroz,2024,1010006.85,35827,Petrol,Automatic,,12.0
Tata Safari,2011,120000.0,183574,Diesel,Manual,1.0,15.3
Hyundai Creta,2024,759950.8,9861,Petrol,Manual,1.3,10.8
Tata Nexon,2018,349190.58,58624,Diesel,Manual,1.8,14.8
Volkswagen Taigun,2010,120000.0,265255,Petrol,Manual,1.0,12.4
Volkswagen Polo,2022,526140.57,29307,CNG,Manual,1.4,24.2
Maruti Suzuki Swift,2022,421644.27,62352,Petrol,Manual,1.7,10.3
Toyota Fortuner,2021,505309.49,62250,Diesel,Automatic,1.0,18.2
BMW 5 Series,2023,3257565.75,31578,Petrol,Manual,2.7,11.1
Audi A3,2020,1896861.21,63958,Diesel,Manual,2.1,13.6
Honda CR-V,2021,594482.73,61917,Petrol,Manual,1.7,17.9
Ford Mustang,2008,160601.73,223061,Diesel,Manual,2.2,14.4
Ford Endeavour,2014,593057.8,74926,Electric,Manual,0.0,204.9
Honda Accord,2010,120000.0,215054,Diesel,Manual,1.4,13.4
Maruti Suzuki Ertiga,2021,362670.85,65031,Petrol,Manual,1.5,9.6
BMW 5 Series,2014,977460.52,123699,Diesel,Automatic,2.4,13.4
BMW 3 Series,2023,2784827.65,52126,Diesel,Automatic,2.1,13.9
Hyundai i20,2010,124925.76,279638,Petrol,Automatic,1.9,11.1
Volkswagen Tiguan,2019,352621.19,49365,Petrol,Manual,1.1,11.7
Maruti Suzuki Brezza,2011,120000.0,151507,  Petrol ,Manual,1.6,11.7
Volkswagen Virtus,2018,419772.08,60794,Petrol,Automatic,1.2,14.4
BMW X3,2008,489563.97,195076,Diesel,Automatic,2.7,10.9
Tata Altroz,2013,305565.02,184552,Electric,Automatic,0.0,150.2
Audi A3,2020,2499508.79,71421,Petrol,Manual,3.2,7.3
BMW 5 Series,2011,1001207.33,181909,CNG,Automatic,4.2,21.4
BMW 3 Series,2012,1001698.52,146376,Petrol,Manual,3.6,8.8
Hyundai Venue,2017,429725.0,115307,Petrol,Automatic,2.2,9.6
Tata Safari,2019,263880.63,70449,Petrol,Manual,1.1,15.2
Mercedes-Benz GLC,2008,543998.0,146088,Diesel,Manual,3.1,11.8
Mercedes-Benz E-Class,2017,1269782.0,169467,Petrol,Manual,2.5,9.7
Audi A4,2009,518602.37,209010,Diesel,Automatic,2.8,13.1
Mercedes-Benz A-Class,2019,1888546.01,77331,Diesel,Manual,2.9,15.0
Volkswagen Tiguan,2020,910565.04,56590,Hybrid,Manual,1.8,20.7
Audi A4,2018,2097545.02,"107,747 km",Petrol,Manual,3.5,7.3
BMW X3,2014,1040572.48,"111,582 km",Petrol,Manual,3.1,8.4
Tata Harrier,2008,120000.0,137620,Petrol,Manual,1.5,11.2
Mercedes-Benz A-Class,2022,2504815.56,56015,Diesel,Manual,1.9,11.9
Ford Focus,2013,633840.93,152365 KM,Petrol,Manual,3.9,7.2
Toyota Yaris,2023,793416.97,42364,Petrol,Manual,1.4,15.2
Toyota RAV4,2023,1094351.59,23863,Petrol,Automatic,1.8,16.2
BMW X3,2017,1144497.79,74444,Petrol,Manual,2.0,12.1
BMW 5 Series,2014,1240873.95,84471,Diesel,Automatic,2.8,14.0
Ford Endeavour,2023,1711175.69,43749,Petrol,Manual,2.6,11.0
Audi Q3,2013,1129761.27,142100,Petrol,Manual,3.1,6.4
Maruti Suzuki Dzire,2020,492597.82,63704,Petrol,Automatic,2.0,13.2
Audi Q5,2022,2152360.23,60477,Diesel,Manual,1.9,11.7
Mercedes-Benz E-Class,2019,1586856.98,56407,Diesel,Manual,,12.5
Volkswagen Virtus,2015,343398.73,67568,  Petrol ,Manual,1.9,11.4
Ford Mustang,2011,295565.12,131325,Petrol,Automatic,2.2,12.7
BMW 3 Series,2014,1158073.9,143089,Petrol,Manual,3.6,6.8
Ford Focus,2024,2262942.46,17313,Diesel,Automatic,2.4,13.7
Tata Punch,2013,280483.46,182900,Electric,Automatic,0.0,152.7
Honda Accord,2012,140063.34,115044,Petrol,Manual,1.4,13.6
Maruti Suzuki Dzire,2014,190454.9,193079 KM,Diesel,Automatic,2.0,14.4
BMW X5,2018,1344488.55,63335,Petrol,Manual,2.4,9.3
Audi A3,2008,558839.17,265636,Diesel,Automatic,3.3,12.4
Toyota Fortuner,2010,128428.78,139305,CNG,Manual,1.5,29.1
Hyundai i20  ,2018,398014.29,80414,Diesel,Automatic,1.5,14.1
Mercedes-Benz GLE,2015,1138356.17,111293 KM,Hybrid,Manual,2.2,20.8
Hyundai i20,2017,258956.99,152348,Petrol,Manual,1.5,12.9
Volkswagen Tiguan,2018,408903.33,123516,Petrol,Manual,1.5,13.8
Tata Harrier,2016,262481.88,90408,Petrol,Manual,1.8,14.3
Volkswagen Taigun,2013,172908.04,225037,Petrol,Manual,1.4,17.4
Ford Fiesta,2022,1300701.02,25056,Petrol,Manual,2.7,10.6
Volkswagen Virtus,2017,326144.57,146782 KM,Petrol,Automatic,1.2,16.3
Honda Amaze,2022,761563.33,51028,Petrol,Automatic,1.6,12.4
Hyundai Venue,2022,561914.36,44592,Petrol,Manual,1.5,13.4
Mercedes-Benz A-Class,2015,696613.15,152922,Diesel,Manual,1.8,16.9
Ford Mustang,2022,1545063.11,37937,Diesel,Manual,2.3,11.3
Toyota Yaris,2009,120000.0,158082,Petrol,Automatic,1.3,10.1
Honda Amaze,2016,232012.14,97602,Petrol,Manual,,10.7
Maruti Suzuki Ertiga,2013,120000.0,177025,Petrol,Automatic,1.2,11.6
Ford Focus,2017,797881.47,113216,Diesel,Manual,2.6,11.9
Mercedes-Benz C-Class,2017,891710.79,106020,Petrol,Manual,1.8,14.5
Honda Civic,2016,302795.15,98235,Petrol,Manual,1.5,13.6
Toyota Camry,2016,727049.37,92416,Electric,Automatic,,150.2
Ford Mustang,2014,424635.85,167865,Petrol,Automatic,2.1,12.4
Mercedes-Benz E-Class,2011,798804.37,93612,CNG,Automatic,2.5,18.7
Mercedes-Benz C-Class,2023,3192379.61,13362,CNG,Manual,2.2,22.6
Tata Harrier,2023,597122.43,17509,Petrol,Automatic,1.4,11.9
Honda CR-V,2016,265631.07,164946,Petrol,Automatic,1.4,15.6
Toyota RAV4,2021,536476.02,50956,Petrol,Manual,1.2,12.6
Mercedes-Benz A-Class,2024,3667386.04,22694,Diesel,Manual,2.0,13.8
Hyundai Tucson,2015,227312.84,112706,Petrol,Manual,1.4,12.7
Toyota RAV4,2024,1399034.37,19109,Petrol,Automatic,1.7,11.4
Tata Altroz,2018,245762.04,75234,Petrol,Manual,1.2,12.5
Tata Punch,2014,290874.86,202090 KM,Electric,Manual,0.0,147.0
Honda Accord,2009,120000.0,168683,Petrol,Manual,1.2,15.6
Ford Focus,2016,722393.47,88575,Petrol,Manual,3.1,7.6
Toyota RAV4,2013,171520.51,237851,  Hybrid ,Manual,1.2,16.2
Honda CR-V,2019,498885.83,66653,Petrol,Manual,1.9,7.0
Ford Focus,2011,292113.57,223948,Petrol,Automatic,2.6,11.7
Honda City,2008,120000.0,156472 KM,Petrol,Automatic,1.1,13.9
Toyota RAV4,2012,120000.0,171289,CNG,Manual,1.1,26.4
Volkswagen Polo,2016,382812.78,129587,Petrol,Automatic,1.6,8.0
Honda Amaze,2012,139386.76,271430,Diesel,Manual,1.5,15.7
BMW 1 Series,2018,1742779.72,111527,Petrol,Manual,3.1,9.4
Honda Civic,2011,122574.24,285302,Diesel,Manual,1.9,16.3
Honda City,2012,236347.34,"88,435 km",Diesel,Manual,1.7,17.0
BMW X3,2010,528243.38,265753,Diesel,Manual,3.2,9.0
Ford Focus,2008,212203.2,236884,Hybrid,Automatic,1.9,18.3
Tata Harrier,2013,171667.43,212065,Petrol,Automatic,1.9,13.3
Mercedes-Benz A-Class,2017,1271278.82,121359,Petrol,Manual,,12.6
Audi A4,2021,1693064.01,68723,Diesel,Manual,1.8,15.9
Toyota Camry,2015,252891.94,128782 KM,Diesel,Automatic,1.1,17.2
Audi Q5,2022,2886680.51,46977,Petrol,Automatic,2.0,10.1
Ford EcoSport,2024,1307145.59,22088,Petrol,Manual,1.8,11.1
Volkswagen Virtus,2016,420952.9,83940 KM,Diesel,Automatic,1.5,15.7
Mercedes-Benz C-Class,2009,248896.99,183557,Petrol,Manual,1.6,11.1
Hyundai i20,2022,684340.92,33073,Diesel,Automatic,1.3,16.1
Audi Q3,2016,1532454.88,84940,Electric,Manual,0.0,182.0
Maruti Suzuki Baleno,2024,795571.91,25819,CNG,Automatic,2.0,19.5
Honda CR-V,2013,155442.3,232017,Petrol,Manual,1.5,16.0
Mercedes-Benz E-Class,2009,449493.5,167622,Diesel,Automatic,2.0,17.0
Mercedes-Benz GLE,2011,509450.04,228116,Petrol,Automatic,2.3,7.4
Maruti Suzuki Ertiga,2008,120000.0,304382,Diesel,Manual,1.9,13.5
Toyota RAV4,2010,153252.73,159843,  Diesel ,Automatic,1.5,13.5
Honda City,2008,120000.0,346318,Electric,Manual,0.0,137.0
Ford Fiesta,2009,257468.27,"233,129 km",Hybrid,Manual,2.8,22.1
BMW 5 Series,2018,1140432.64,96420,Petrol,Automatic,1.7,12.3
Volkswagen Polo,2014,368009.39,163241,Diesel,Automatic,1.9,13.5
Audi Q3,2017,1286132.68,93249,Diesel,Manual,2.3,9.6
Maruti Suzuki Baleno,2021,371177.47,86957,Petrol,Manual,1.7,10.1
Tata Harrier,2011,146329.95,184176,CNG,Automatic,1.9,22.8
Toyota Corolla,2024,719440.18,17600,Petrol,Manual,1.1,12.8
Honda City,2011,176655.38,92581,Petrol,Automatic,1.5,14.8
Audi A6,2008,545310.39,163900,Petrol,Automatic,2.7,13.2
Honda Civic,2013,179836.16,144440,Diesel,Manual,1.3,15.8
Hyundai Creta,2016,403883.23,50936,Petrol,Automatic,1.9,13.1
Toyota RAV4,2009,120000.0,216193,Diesel,Manual,1.0,17.6
Toyota Fortuner,2014,238556.41,202471,Diesel,Manual,1.8,15.8
BMW 3 Series,2017,1541923.07,136652,Electric,Manual,0.0,173.4
Ford Endeavour,2024,2273895.06,11444,Hybrid,Automatic,,20.4
Ford EcoSport,2011,205789.38,253428,Diesel,Automatic,1.8,16.1
Maruti Suzuki Swift,2021,526881.29,69394,Diesel,Automatic,1.9,16.7
BMW 5 Series,2010,413881.07,253705,Petrol,Manual,2.6,10.0
Mercedes-Benz A-Class,2013,754141.23,137762,Petrol,Manual,2.1,14.4
BMW X5,2009,392971.72,296244,Petrol,Automatic,2.9,8.2
Ford Mustang,2008,229119.8,248558,Diesel,Automatic,3.1,11.4
Toyota Corolla,2024,1057295.09,13977,Petrol,Automatic,1.3,17.4
Tata Altroz,2020,334721.16,73651,Petrol,Manual,1.4,11.9
Toyota Corolla,2012,231491.46,199029,Diesel,Manual,1.8,13.9
Tata Nexon,2020,426119.98,64723,Petrol,Automatic,1.5,
Hyundai Venue,2013,388551.43,158593,Electric,Automatic,0.0,175.2
Toyota Fortuner,2018,399711.48,112168,Petrol,Manual,1.5,13.6
Honda Civic,2017,359674.12,151380,  Petrol ,Manual,1.6,15.3
Maruti Suzuki Dzire,2008,120000.0,196751 KM,,Automatic,1.8,16.8
Honda City,2013,173828.87,186123,Diesel,Automatic,1.2,17.9
Audi A4,2020,2624301.39,86224,Petrol,Automatic,3.1,8.6
Toyota Camry,2021,802886.66,46343,Diesel,Automatic,1.5,14.5
Ford Mustang,2024,1962107.48,10306,Diesel,Manual,2.3,
Mercedes-Benz A-Class,2015,980380.13,125548,Petrol,Manual,2.1,13.4
Toyota Yaris,2023,1091374.85,29921,Petrol,Automatic,1.5,12.5
